Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
17019,JAIPUR JN.,HYDERABAD DE,2002.0,32,41.17
17020,HYDERABAD DE,JAIPUR JN.,2004.0,32,39.17
17021,HYDERABAD DE,GUNTAKAL JN.,376.0,7,7.75
17022,GUNTAKAL JN.,HYDERABAD DE,373.0,7,10.67
17023,SECUNDERABAD,KURNOOL TOWN,243.0,14,5.0
17024,KURNOOL TOWN,SECUNDERABAD,243.0,12,4.92
17025,MANUGURU,SECUNDERABAD,341.0,13,7.25
17026,SECUNDERABAD,MANUGURU,341.0,13,7.25
17027,SECUNDERABAD,KURNOOL TOWN,243.0,11,4.67
17028,KURNOOL TOWN,SECUNDERABAD,243.0,11,5.5
17031,CST-MUMBAI,HYDERABAD DE,791.0,24,17.17
17032,HYDERABAD DE,CST-MUMBAI,793.0,24,16.42
17037,SECUNDERABAD,BIKANER JN.,2120.0,26,40.92
17038,BIKANER JN.,SECUNDERABAD,2121.0,26,41.17
17057,CST-MUMBAI,SECUNDERABAD,875.0,28,17.33
17058,SECUNDERABAD,CST-MUMBAI,875.0,27,18.75
17063,MANMAD JN.,SECUNDERABAD,615.0,21,12.0
17064,SECUNDERABAD,MANMAD JN.,615.0,21,12.58
17201,GUNTUR JN.,SECUNDERABAD,391.0,22,7.75
17202,SECUNDERABAD,GUNTUR JN.,390.0,23,8.25
17203,BHAVNAGAR TE,KAKINADA POR,2051.0,29,40.83
17204,KAKINADA POR,BHAVNAGAR TE,2053.0,30,40.0
17205,SAI NAGAR SH,KAKINADA POR,1346.0,37,26.42
17206,KAKINADA POR,SAI NAGAR SH,1347.0,37,27.3
17207,SAI NAGAR SH,VIJAYWADA JN,1129.0,30,22.08
17208,VIJAYWADA JN,SAI NAGAR SH,1130.0,30,22.72
17209,KRANTIVIRA S,KAKINADA TOW,962.0,33,19.75
17210,KAKINADA TOW,KRANTIVIRA S,962.0,34,18.92
17211,MACHILIPATNA,YESVANTPUR J,768.0,19,18.5
17212,YESVANTPUR J,MACHILIPATNA,768.0,19,16.75
17213,NARASAPUR,NAGARSOL,1092.0,21,22.08
17214,NAGARSOL,NARASAPUR,1092.0,21,23.75
17215,VIJAYWADA JN,DHARMAVARAM,619.0,14,13.83
17216,DHARMAVARAM,VIJAYWADA JN,619.0,14,14.83
17221,KAKINADA POR,LOKMANYA TIL,1306.0,21,26.33
17222,LOKMANYA TIL,KAKINADA POR,1306.0,21,25.08
17225,VIJAYWADA JN,HUBLI JN.,693.0,24,15.58
17226,HUBLI JN.,VIJAYWADA JN,691.0,24,15.75
17229,TRIVANDRUM C,HYDERABAD DE,1562.0,41,29.67
17230,HYDERABAD DE,TRIVANDRUM C,1563.0,41,31.08
17231,NARASAPUR,NAGARSOL,1048.0,25,23.58
17232,NAGARSOL,NARASAPUR,1048.0,26,23.75
17233,SECUNDERABAD,BALHARSHAH,375.0,32,9.58
17234,BALHARSHAH,SECUNDERABAD,374.0,32,8.58
17235,KRANTIVIRA S,NAGERCOIL JN,669.0,14,14.58
17236,NAGERCOIL JN,KRANTIVIRA S,668.0,14,13.92
17239,GUNTUR JN.,VISAKHAPATNA,382.0,25,10.33
17240,VISAKHAPATNA,GUNTUR JN.,383.0,24,8.17
17241,NARASAPUR,NIDADAVOLU J,76.0,6,2.0
17242,NIDADAVOLU J,NARASAPUR,77.0,6,2.08
17255,NARASAPUR,HYDERABAD DE,462.0,19,10.5
17256,HYDERABAD DE,NARASAPUR,464.0,19,10.92
17301,MYSORE JN.,DHARWAD,493.0,16,9.5
17302,DHARWAD,MYSORE JN.,490.0,15,10.5
17305,HUBLI JN.,LONDA JN.,90.0,2,2.08
17307,MYSORE JN.,BAGALKOT,993.0,32,22.67
17308,BAGALKOT,MYSORE JN.,994.0,30,23.67
17309,YESVANTPUR J,VASCO-DA-GAM,665.0,16,15.5
17310,VASCO-DA-GAM,YESVANTPUR J,662.0,16,15.08
17311,CHENNAI CENT,VASCO-DA-GAM,1029.0,22,22.0
17312,VASCO-DA-GAM,CHENNAI CENT,1027.0,23,21.25
17315,VASCO-DA-GAM,VELANKANNI,1269.0,22,27.42
17316,VELANKANNI,VASCO-DA-GAM,1273.0,25,30.25
17317,HUBLI JN.,LOKMANYA TIL,732.0,14,15.5
17318,LOKMANYA TIL,HUBLI JN.,731.0,14,16.5
17319,HUBLI JN.,SECUNDERABAD,660.0,20,14.92
17320,SECUNDERABAD,HUBLI JN.,661.0,20,15.83
