,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
47159,1,20.0,20,20
47160,1,20.0,20,20
47161,1,20.0,20,20
47162,1,20.0,20,20
47163,1,20.0,20,20
47164,1,20.0,20,20
47165,1,20.0,20,20
47166,1,20.0,20,20
47167,1,20.0,20,20
47168,1,9.0,9,9
47169,1,20.0,20,20
47170,1,20.0,20,20
47171,1,20.0,20,20
47172,1,9.0,9,9
47173,1,20.0,20,20
47174,1,20.0,20,20
47175,1,20.0,20,20
47176,1,20.0,20,20
47177,1,20.0,20,20
47178,1,20.0,20,20
47179,1,20.0,20,20
47180,1,20.0,20,20
47181,1,20.0,20,20
47182,1,20.0,20,20
47183,1,20.0,20,20
47184,1,20.0,20,20
47185,1,20.0,20,20
47186,1,20.0,20,20
47187,1,20.0,20,20
47188,1,20.0,20,20
47189,1,20.0,20,20
47190,1,20.0,20,20
47191,1,20.0,20,20
47192,1,20.0,20,20
47193,1,20.0,20,20
47194,1,20.0,20,20
47195,1,10.0,10,10
47196,1,5.0,5,5
47197,1,15.0,15,15
47198,1,20.0,20,20
47199,1,15.0,15,15
47200,1,15.0,15,15
47201,1,15.0,15,15
47202,1,15.0,15,15
47203,1,20.0,20,20
47204,1,9.0,9,9
47205,1,9.0,9,9
47206,1,15.0,15,15
47207,1,20.0,20,20
47208,1,15.0,15,15
47209,1,15.0,15,15
47210,1,20.0,20,20
47211,1,20.0,20,20
47212,1,20.0,20,20
47213,1,20.0,20,20
47214,1,20.0,20,20
47215,1,20.0,20,20
47216,1,20.0,20,20
47217,1,20.0,20,20
47218,1,20.0,20,20
47219,1,20.0,20,20
47220,1,20.0,20,20
50101,1,20.0,20,20
50102,1,20.0,20,20
50103,1,36.0,36,36
50104,1,36.0,36,36
50105,1,47.0,47,47
50106,1,47.0,47,47
50107,1,7.0,7,7
50108,1,7.0,7,7
50119,1,4.0,4,4
50120,1,5.0,5,5
51027,1,24.0,24,24
51028,1,27.0,27,27
51029,1,29.0,29,29
51030,1,32.0,32,32
51033,1,6.0,6,6
51034,1,5.0,5,5
51111,1,7.0,7,7
51112,1,7.0,7,7
51113,1,7.0,7,7
51114,1,7.0,7,7
51115,1,7.0,7,7
51116,1,7.0,7,7
51135,1,0.0,0,0
51136,1,0.0,0,0
51137,1,0.0,0,0
51138,1,0.0,0,0
51139,1,0.0,0,0
51140,1,0.0,0,0
51141,1,0.0,0,0
51142,1,0.0,0,0
51145,1,0.0,0,0
51146,1,0.0,0,0
51147,1,0.0,0,0
51148,1,0.0,0,0
51149,1,0.0,0,0
51150,1,0.0,0,0
51151,1,6.0,6,6
51152,1,9.0,9,9
51153,1,46.0,46,46
51154,1,45.0,45,45
51157,1,35.0,35,35
51158,1,35.0,35,35
51181,1,28.0,28,28
51182,1,28.0,28,28
51183,1,34.0,34,34
51184,1,35.0,35,35
51187,1,69.0,69,69
51188,1,69.0,69,69
51189,1,62.0,62,62
51190,1,62.0,62,62
51195,1,13.0,13,13
51196,1,14.0,14,14
51197,1,33.0,33,33
51198,1,34.0,34,34
51239,1,2.0,2,2
51240,1,2.0,2,2
51253,1,14.0,14,14
51254,1,10.0,10,10
51255,1,10.0,10,10
51256,1,10.0,10,10
51259,1,10.0,10,10
51260,1,9.0,9,9
51261,1,9.0,9,9
51262,1,10.0,10,10
51285,1,44.0,44,44
51286,1,45.0,45,45
51293,1,18.0,18,18
51294,1,16.0,16,16
51317,1,17.0,17,17
51318,1,18.0,18,18
51347,1,14.0,14,14
51348,1,4.0,4,4
51350,1,9.0,9,9
51401,1,32.0,32,32
51402,1,32.0,32,32
51405,1,22.0,22,22
51406,1,22.0,22,22
51407,1,6.0,6,6
51408,1,4.0,4,4
51409,1,40.0,40,40
51410,1,39.0,39,39
51411,1,27.0,27,27
51412,1,22.0,22,22
51419,1,33.0,33,33
51420,1,31.0,31,31
51421,1,81.0,81,81
51422,1,74.0,74,74
51423,1,13.0,13,13
51424,1,13.0,13,13
51425,1,34.0,34,34
51426,1,33.0,33,33
51427,1,5.0,5,5
51428,1,5.0,5,5
51429,1,6.0,6,6
51430,1,7.0,7,7
51431,1,20.0,20,20
51432,1,19.0,19,19
51433,1,50.0,50,50
51434,1,50.0,50,50
51435,1,17.0,17,17
51436,1,17.0,17,17
51437,1,15.0,15,15
51438,1,15.0,15,15
51441,1,22.0,22,22
51442,1,22.0,22,22
51451,1,14.0,14,14
51452,1,14.0,14,14
51458,1,0.0,0,0
51461,1,15.0,15,15
51462,1,14.0,14,14
51463,1,14.0,14,14
51464,1,14.0,14,14
51601,1,29.0,29,29
51602,1,29.0,29,29
51603,1,30.0,30,30
51604,1,30.0,30,30
51605,1,26.0,26,26
51606,1,26.0,26,26
51607,1,15.0,15,15
51608,1,15.0,15,15
51609,1,15.0,15,15
51610,1,15.0,15,15
51611,1,36.0,36,36
51612,1,36.0,36,36
51671,1,42.0,42,42
51672,1,42.0,42,42
51673,1,38.0,38,38
51674,1,38.0,38,38
51675,1,32.0,32,32
51676,1,32.0,32,32
51678,1,9.0,9,9
51679,1,34.0,34,34
51680,1,34.0,34,34
51685,1,3.0,3,3
